# index, name, _pos
297,INO2,"array([27.60005299,  9.32793593])"
298,INO2_INO4,"array([ 22.56968578, -32.81524993])"
299,INO4,"array([ 23.92198337, -31.54275706])"
300,IPT1,"array([ 10.56632601, -26.13192403])"
301,ISC1,"array([ 17.64198826, -30.06286436])"
302,ITR1,"array([ 23.68344195, -29.71456253])"
303,IXR1,"array([ 31.94316179, -38.2763573 ])"
304,JEN1,"array([ 19.86158605, -34.07855887])"
305,KAR2,"array([  2.20260688, -30.41444432])"
306,KAR3,"array([ 3.88113053, 20.63619591])"
307,KAR4,"array([38.71733276,  8.90145271])"
308,KAR5,"array([ 21.78738699, -14.55102643])"
309,KGD1,"array([ 15.87043923, -18.46519263])"
310,KGD2,"array([ 21.58886312, -29.52475327])"
311,KRS1,"array([ 23.44630129, -30.74179893])"
312,KTR1,"array([ 54.3008039 , -38.06214636])"
313,KTR2,"array([ 10.16758511, -18.95839565])"
314,LAP3,"array([  1.61674906, -19.70290452])"
315,LEU1,"array([  1.58942934, -13.7945002 ])"
316,LEU2,"array([  3.76651277, -16.05080183])"
317,LEU3,"array([  4.33437131, -18.3095546 ])"
318,LEU4,"array([  2.06664664, -18.94700178])"
319,LPD1,"array([  3.63815131, -17.9312589 ])"
320,LYS1,"array([  5.18017013, -19.978747  ])"
321,LYS12,"array([  1.30926554, -20.61294644])"
322,LYS14,"array([  0.76146333, -18.46582977])"
323,LYS2,"array([ 19.72510949, -12.28333963])"
324,LYS20,"array([ 19.33828211, -11.53637145])"
325,LYS5,"array([ 15.36613837, -12.03336175])"
326,LYS9,"array([ 13.2734567 , -33.52485152])"
327,MAC1,"array([  6.48838106, -22.63967728])"
328,MAK10,"array([ 17.75459905, -25.93779664])"
329,MAL31,"array([21.70737905, -6.88712111])"
330,MAL32,"array([  6.3408062 , -25.57787291])"
331,MAL33,"array([ 11.93818808, -28.02886392])"
332,MBP1_SWI6,"array([ 18.23508031, -26.487318  ])"
333,MCD4,"array([ 12.54258583, -27.54860964])"
334,MCM1,"array([ 22.94992924, -19.60183948])"
335,MDH1,"array([ 20.87391323, -23.49767299])"
336,MDH2,"array([23.90377531, -5.96409529])"
337,MDH3,"array([12.60597869, -6.99832429])"
338,MDJ1,"array([  3.10756788, -31.10243913])"
339,MEI4,"array([ 16.33256355, -32.17409388])"
340,MEK1,"array([  4.99335733, -58.79058693])"
341,MEL1,"array([  1.6501243, -39.2851522])"
342,MER1,"array([  2.64277437, -27.85031261])"
343,MET14,"array([-2.10464996, -9.31223713])"
344,MET16,"array([-22.77984641,   1.42383618])"
345,MET17,"array([-25.19312515,  -1.33421918])"
346,MET2,"array([ 18.98747898, -25.37099329])"
347,MET28,"array([ 17.10728172, -24.01068129])"
348,MET3,"array([ 22.13451417, -27.95144299])"
349,MET4,"array([ 11.74571809, -20.20681508])"
350,MET6,"array([ 14.32795266, -18.4286443 ])"
351,MET8,"array([ 10.86347852, -19.94265169])"
352,MFALPHA1,"array([ 27.46229603, -16.36223627])"
353,MFALPHA2,"array([ 17.57448473, -17.9811094 ])"
354,MID2,"array([ 18.1711331 , -17.20547987])"
355,MIG1,"array([ 17.7734029 , -15.96775384])"
356,MIG2,"array([ 25.7287479 , -13.98401133])"
357,MOT3,"array([23.79045595, -7.00600197])"
358,MPT5,"array([13.52529103, -6.83450086])"
359,MSN1,"array([ 20.81921284, -16.29318644])"
360,MSN2,"array([  2.52561089, -32.8286477 ])"
361,MSN4,"array([  6.33313543, -26.44154802])"
362,MTC2,"array([  3.18355546, -13.73673663])"
363,MTH1,"array([14.90278755, -5.74074128])"
364,MUC1,"array([16.30679352, -3.62300471])"
365,MUG1,"array([14.94460332, -7.69041006])"
366,NDT80,"array([  8.73401491, -35.29285187])"
367,NRG1,"array([  7.1144765 , -35.68054659])"
368,NUF1,"array([ 19.5288155 , -30.99777006])"
369,NUP116,"array([ 8.10988919, -9.7383004 ])"
370,OAF1,"array([ 9.04449253, -8.02204738])"
371,OAF1_PIP2,"array([ 14.49192143, -29.29209931])"
372,ODC2,"array([ 23.48187058, -25.70677251])"
373,OLE1,"array([ 19.81678773, -18.89145877])"
374,OPI3,"array([ 21.1599283 , -25.08137171])"
375,OYE3,"array([ 21.1586242 , -26.19255074])"
376,PAU3,"array([ 14.37580265, -32.73800461])"
